name,lat,lon,region,region_raw,category,type_raw,point_kind,confidence,source
הר גמל,30.6029,34.7966,south,נגב / מצפה רמון,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
מצפור שי נחל הבשור,31.3463,34.4711,south,נגב מערבי,viewpoints,תצפית,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/scenic_lookouts/
הר רם,33.245772,35.787547,north,צפון / גולן וחרמון,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר כרמים,33.218933,35.777842,north,צפון / גולן וחרמון,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר אודם,33.1987,35.7542,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר בראון,33.158868,35.778213,north,צפון / גולן וחרמון,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר אביטל,33.10816126,35.79455909,north,צפון / גולן וחרמון,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר פרס,32.960276,35.864804,north,צפון / גולן וחרמון,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר שיפון,33.0693,35.7691,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
הר סנאים,33.271697,35.721566,north,צפון / גולן וחרמון,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל חרמון,33.213157,35.629298,north,צפון / גולן וחרמון,water,נחל / מסלול,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל אל על,32.805,35.753,north,צפון / גולן וחרמון,water,נחל / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל יהודיה,32.86,35.69,north,צפון / גולן וחרמון,water,נחל / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
נחל זוויתן,32.82,35.735,north,צפון / גולן וחרמון,water,נחל / מסלול,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מפל בניאס,33.237,35.677,north,צפון / גולן וחרמון,water,מפל / אתר טבע,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
בריכת המשושים,32.833,35.705,north,צפון / גולן וחרמון,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מצפה השלום,32.7582,35.6583,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפה קוניטרה,33.1085,35.8008,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפה נמרוד,32.9718,35.5336,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפור בית ציידא,32.8887,35.6926,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפור גולני,33.2249,35.6901,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפור הר בנטל,33.1288,35.7858,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
מצפור עמק הבכא,33.1772,35.798,north,צפון / גולן וחרמון,viewpoints,תצפית / פסגה,נקודת תצפית / פסגה,גבוהה,https://www.kkl.org.il/travel/
הר מירון,32.99774886,35.41249775,north,צפון / גליל עליון ואצבע הגליל,mountains,תצפית / פסגה,נקודת ישות גאוגרפית,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין כובס,32.96,35.51,north,צפון / גליל עליון ואצבע הגליל,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
עין זיתים,32.965,35.485,north,צפון / גליל עליון ואצבע הגליל,water,מעיין / מקור מים,נקודת אתר / מקור מים,גבוהה,https://www.geonames.org/advanced-search.html?country=IL&q=Israeli
מצפור קרן נפתלי,33.0898,35.5649,north,צפון / גליל עליון ואצבע הגליל,viewpoints,תצפית / פסגה,נקודת תצפית / אתר,גבוהה,https://www.kkl.org.il/travel/
