name,search_query,region,region_raw,category,type_raw,source
שמורת טבע נחל אל על,שמורת טבע נחל אל על,north,צפון,reserves,שמורת טבע / מסלול,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%90%D7%9C-%D7%A2%D7%9C/
פארק אדמית,פארק אדמית,north,צפון,viewpoints,פארק / תצפית,https://www.kkl.org.il/travel/trips/adamit_park/
יער בית קשת,יער בית קשת,north,צפון,nature,יער / דרך נוף,https://www.kkl.org.il/travel/beit_keshet_forest/
שמורת טבע ליפתא,שמורת טבע ליפתא,jerusalem,ירושלים,reserves,שמורת טבע / מעיין,https://www.parks.org.il/reserve-park/lifta/
שמורת טבע נחל פרת - עין פרת,שמורת טבע נחל פרת - עין פרת,jerusalem,ירושלים ומדבר יהודה,reserves,שמורת טבע / מעיין,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%94%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A4%D7%A8%D7%AA-%D7%95%D7%90%D7%93%D7%99-%D7%A7%D7%9C%D7%98/
עין מבוע,עין מבוע,jerusalem,ירושלים ומדבר יהודה,water,מעיין,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%94%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A4%D7%A8%D7%AA-%D7%95%D7%90%D7%93%D7%99-%D7%A7%D7%9C%D7%98/
עין קלט,עין קלט,jerusalem,ירושלים ומדבר יהודה,water,מעיין / מסלול,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%94%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A4%D7%A8%D7%AA-%D7%95%D7%90%D7%93%D7%99-%D7%A7%D7%9C%D7%98/
שמורת טבע יער הכפירה - עין כפירה,שמורת טבע יער הכפירה - עין כפירה,jerusalem,ירושלים,reserves,שמורת טבע / מעיין,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%99%D7%A2%D7%A8-%D7%94%D7%9B%D7%A4%D7%99%D7%A8%D7%94/
גן לאומי עמק צורים,גן לאומי עמק צורים,jerusalem,ירושלים,parks,גן לאומי / תצפית,https://www.parks.org.il/reserve-park/%D7%92%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%A2%D7%9E%D7%A7-%D7%A6%D7%95%D7%A8%D7%99%D7%9D/
שמורת טבע מצוק הצינים,שמורת טבע מצוק הצינים,south,נגב,reserves,שמורת טבע / מסלול,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%9E%D7%A6%D7%95%D7%A7-%D7%94%D7%A6%D7%99%D7%A0%D7%99%D7%9D/
שמורת טבע נחל שיזף,שמורת טבע נחל שיזף,south,ערבה,reserves,שמורת טבע / דרך נוף,https://www.parks.org.il/reserve-park/%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%A0%D7%97%D7%9C-%D7%A9%D7%99%D7%96%D7%A3/
יער להב,יער להב,south,נגב,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/lahav_forest/
שביל היחמורים בפארק הכרמל,שביל היחמורים פארק הכרמל,north,צפון / כרמל,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
נחל ערוגות - עין גדי,נחל ערוגות עין גדי,deadsea,ים המלח,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
"מתל גורן למעיין עין גדי, מערת דודים וגב חלון",תל גורן עין גדי,deadsea,ים המלח,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
הר רמון - תצפית,הר רמון,south,נגב,viewpoints,מסלול הליכה,https://www.parks.org.il/trip/page/2/
בורות לוץ וראש אלות,בורות לוץ,south,נגב,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
נחל צפית תיכון,נחל צפית תיכון,south,נגב / מדבר יהודה,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
נחל חרמון (בניאס) תיכון,נחל חרמון תיכון,north,צפון / גולן,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
שביל מטמור - המכתש הגדול,שביל מטמור,south,נגב,mountains,דרך 4X4,https://www.parks.org.il/trip/page/2/
המסלול המעגלי של מצד עטרת,מצד עטרת,north,צפון / עמק הירדן,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
דרך נוף 4X4 לאורך הירדן ההררי,הירדן ההררי דרך נוף,north,צפון / עמק הירדן,nature,דרך 4X4,https://www.parks.org.il/trip/page/2/
מצפור הר אבנון,הר אבנון,south,נגב,viewpoints,תצפית / מסלול קצר,https://www.parks.org.il/trip/page/2/
הר ברקן - איריס הגלבוע,הר ברקן,north,צפון / גלבוע,mountains,מסלול הליכה,https://www.parks.org.il/trip/page/2/
מצפה שלום ושביל הבוסתנים,מצפה שלום כפר חרוב,north,צפון / גולן,viewpoints,מסלול הליכה / תצפית,https://www.parks.org.il/trip/page/2/
שמורת חורבת קרתא,חורבת קרתא,north,צפון / חוף הכרמל,reserves,מסלול הליכה,https://www.parks.org.il/trip/page/2/
גן לאומי ממשית,גן לאומי ממשית,south,נגב,parks,גן לאומי / מסלול,https://www.parks.org.il/trip/page/2/
עין תינה,עין תינה,north,צפון / גולן,water,מסלול מים,https://www.parks.org.il/trip/page/2/
נבי סמואל - מסלול נגיש,נבי סמואל,jerusalem,ירושלים,viewpoints,גן לאומי / תצפית,https://www.parks.org.il/trip/page/2/
מצדה - מסלול נגיש,גן לאומי מצדה,deadsea,ים המלח,viewpoints,גן לאומי / תצפית,https://www.parks.org.il/trip/page/2/
גן לאומי צבעי מכתש רמון,צבעי מכתש רמון,south,נגב,parks,גן לאומי / מסלול,https://www.parks.org.il/trip/page/2/
שמורת טבע חוף האלמוגים,חוף האלמוגים אילת,south,ערבה / אילת,reserves,שמורת טבע / חוף,https://www.parks.org.il/trip/page/2/
גן לאומי גן השלושה,גן השלושה סחנה,north,צפון / עמק המעיינות,parks,גן לאומי / מים,https://www.parks.org.il/trip/page/2/
שמורת טבע עיינות צוקים,עיינות צוקים עין פשחה,deadsea,ים המלח,reserves,שמורת טבע / מעיינות,https://www.parks.org.il/trip/page/2/
מוזיאון השומרוני הטוב,מוזיאון השומרוני הטוב,jerusalem,ירושלים ומדבר יהודה,heritage,אתר מורשת,https://www.parks.org.il/trip/page/2/
ממצד עתרת לגשר כפר הנשיא,מצד עתרת גשר כפר הנשיא,north,צפון / עמק הירדן,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
מגשר הדודות לגשר אריק,גשר הדודות גשר אריק,north,צפון / כנרת,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
בריכות שמיר בנחל משושים,בריכות שמיר נחל משושים,north,צפון / גולן,water,מסלול מים,https://www.parks.org.il/trip/page/2/
עין אמפי / עין אקליפטוס,עין אמפי,north,צפון / גולן,water,מעיין,https://www.parks.org.il/trip/page/2/
נחל יצפור,נחל יצפור,north,צפון / גלבוע,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
בריכות נחל עיט,נחל עיט בריכות,north,צפון / גולן,water,מסלול מים,https://www.parks.org.il/trip/page/2/
דרך האש - פארק הכרמל,דרך האש פארק הכרמל,north,צפון / כרמל,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
ממצפה שמיר לעין מודע,מצפה שמיר עין מודע,north,צפון / עמק המעיינות,viewpoints,מסלול הליכה,https://www.parks.org.il/trip/page/2/
מחוף כפר נחום לעין איוב,כפר נחום עין איוב,north,צפון / כנרת,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
מחוף כפר נחום לחוף אמנון,כפר נחום חוף אמנון,north,צפון / כנרת,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
שביל בורות המים במצדה,מצדה שביל בורות המים,deadsea,ים המלח,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
הר כפיר,הר כפיר,north,צפון / גליל,mountains,מסלול הליכה,https://www.parks.org.il/trip/page/2/
נחל זהר - יזרח - רום,נחל זהר יזרח רום,deadsea,ים המלח,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
"יודפת העתיקה, הר עצמון ונחל אבליים",יודפת הר עצמון,north,צפון / גליל תחתון,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
שמורת טבע מעיינות גיבתון,מעיינות גיבתון,center,מרכז / שפלה,reserves,שמורת טבע / מעיינות,https://www.parks.org.il/trip/page/2/
שביל סובב עין כרם,שביל סובב עין כרם,jerusalem,ירושלים,nature,מסלול הליכה,https://www.parks.org.il/trip/page/2/
נחל אדמי,נחל אדמי,north,צפון / גליל תחתון,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
מאנדרטת נספי השריפה לעין אלון,עין אלון כרמל,north,צפון / כרמל,heritage,מסלול הליכה,https://www.parks.org.il/trip/page/2/
שמורת טבע אירוס נצרתי ונחל ברק בן אבינעם,אירוס נצרתי נחל ברק בן אבינעם,north,צפון / גליל תחתון,reserves,מסלול פריחה,https://www.parks.org.il/trip/page/2/
שמורת טבע שיטה מלבינה אשדוד,שיטה מלבינה אשדוד,center,מרכז / מישור החוף,reserves,שמורת טבע / מסלול,https://www.parks.org.il/trip/page/2/
חוף השרון הדרומי,גן לאומי חוף השרון דרומי,center,מרכז / השרון,water,מסלול הליכה,https://www.parks.org.il/trip/page/2/
גן לאומי חוף השרון הצפוני - מגעש עד וינגייט,גן לאומי חוף השרון געש,center,מרכז / השרון,parks,מסלול הליכה,https://www.parks.org.il/trip/sharon-north/
שמורת טבע חוף גדור,חוף גדור,center,מרכז / השרון,reserves,מסלול חוף,https://www.parks.org.il/trip/page/2/
גן לאומי צור נתן,צור נתן,center,מרכז / השרון,parks,מסלול הליכה,https://www.parks.org.il/trip/page/2/
שביל תצפית מאגר רז,חניון אורן זמיר מאגר רז,center,מרכז / רמת מנשה,viewpoints,מסלול הליכה / תצפית,https://www.kkl.org.il/travel/trips/tazraz/
מגדל התצפית ביער כיסופים,יער כיסופים מגדל תצפית,south,דרום / נגב מערבי,viewpoints,תצפית / יער,https://www.kkl.org.il/travel/trips/2991/
מצודת ביריה,מצודת ביריה,north,צפון / גליל עליון,heritage,מסלול / אתר מורשת,https://www.kkl.org.il/travel/trips/255/
מצפה כנרת מנדל,מצפה כנרת מנדל,north,צפון / גולן,viewpoints,תצפית,https://www.kkl.org.il/travel/trips/accessible_hiking_trails/accessible_hiking_trails_north/mitzpe_kinneret_mandel/
מצפה בניה בהרי נפתלי,מצפה בניה משגב עם,north,צפון / גליל עליון,viewpoints,תצפית,https://www.kkl.org.il/travel/trips/2934/
אל נחל יתלה,נחל יתלה,center,מרכז / הרי ירושלים,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_hikers/itineraries_for_hikers_center/
שביל הקדושים,שביל הקדושים יער הקדושים,center,מרכז / הרי ירושלים,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_hikers/itineraries_for_hikers_center/
הר חרת ושביל ירושלים,הר חרת שביל ירושלים,jerusalem,ירושלים,mountains,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_hikers/itineraries_for_hikers_center/
הר יעלה ודיר א-שיח',הר יעלה דיר א שיח,center,מרכז / הרי ירושלים,mountains,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_hikers/itineraries_for_hikers_center/
מהר טייסים לעין טייסים,הר טייסים עין טייסים,center,מרכז / הרי ירושלים,mountains,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_hikers/itineraries_for_hikers_center/
אנדרטת רובינשטיין ביער עמינדב,אנדרטת רובינשטיין יער עמינדב,jerusalem,ירושלים,viewpoints,מסלול נגיש / תצפית,https://www.kkl.org.il/travel/
הר שאול - מסלול נגיש,הר שאול גלבוע,north,צפון / גלבוע,viewpoints,תצפית / מסלול נגיש,https://www.kkl.org.il/travel/
מרכז להנצחת חיילי אנז״ק - מסלול נגיש,מרכז אנזק באר שבע,south,דרום / באר שבע,nature,אתר מורשת / מסלול נגיש,https://www.kkl.org.il/travel/
עין אמפי,עין אמפי,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין עקוב,עין עקוב,north,צפון / גולן,water,מעיין / חניון,https://www.kkl.org.il/travel/water_trips_2025/
עין כנף,עין כנף,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין תאופיק,עין תאופיק,north,צפון / גולן,water,מעיין / חניון,https://www.kkl.org.il/travel/water_trips_2025/
עין אניעם,עין אניעם,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין ידידיה,עין ידידיה,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין מוקש,עין מוקש,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין עלמין,עין עלמין,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין מימון,עין מימון,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין אי״ה,עין אי״ה,north,צפון / גולן,water,מעיין / תצפית,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין אורחה,עין אורחה,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין חשק,עין חשק,north,צפון / גולן,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין שרונה,עין שרונה,north,צפון / גליל תחתון,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין יבקע,עין יבקע,north,צפון / גליל תחתון,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
עין רמיאל,עין רמיאל,north,צפון / גליל תחתון,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין שחל,עין שחל,north,צפון / גליל תחתון,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין הסמל,עין הסמל,north,צפון / גלבוע,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין נורית,עין נורית,north,צפון / גלבוע,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין מגדל,עין מגדל,north,צפון / עמק המעיינות,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין טמיר,עין טמיר,north,צפון / גליל מערבי,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין געתון,עין געתון,north,צפון / גליל מערבי,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין יקים,עין יקים,north,צפון / גליל עליון,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
בריכות שכווי,בריכות שכווי,north,צפון / גליל עליון,water,בריכות טבעיות,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין נבוריה,עין נבוריה,north,צפון / גליל עליון,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
עין עלווה,עין עלווה,north,צפון / גליל עליון,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין אביב,עין אביב,north,צפון / גליל עליון,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין קדם נחל נדר,עין קדם נחל נדר,north,צפון / כרמל,water,מעיין / נקבה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין צור,עין צור,north,צפון / רמת הנדיב,water,מעיין / מסלול,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין אביאל,עין אביאל,north,צפון / רמות מנשה,water,מעיין / מסלול מים,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין עמיקם,עין עמיקם,north,צפון / רמות מנשה,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין מחוללים,עין מחוללים,north,צפון / רמות מנשה,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
עין דמומית,עין דמומית,north,צפון / רמות מנשה,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
עין שלף,עין שלף,north,צפון / רמות מנשה,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
בריכת הנופרים,בריכת הנופרים,center,מרכז / מקורות הירקון,water,בריכה טבעית,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין ורד,עין ורד,center,מרכז / השפלה,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין מסילה,עין מסילה,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
עין סטף,עין סטף,jerusalem,ירושלים / הרי יהודה,water,מעיין / נקבה,https://www.kkl.org.il/travel/water_trips_2025/
עין ביכורה,עין ביכורה,jerusalem,ירושלים / הרי יהודה,water,מעיין / נקבה,https://www.kkl.org.il/travel/water_trips_2025/
עין לבן,עין לבן,jerusalem,ירושלים,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין חניה,עין חניה,jerusalem,ירושלים,water,מעיין / אתר ארכיאולוגי,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין איתמר,עין איתמר,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין עוזי,עין עוזי,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
עין תמר,עין תמר,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.kkl.org.il/travel/water_trips_2025/
עין שריג,עין שריג,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין לימון,עין לימון,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין גיורא,עין גיורא,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין קובי,עין קובי,jerusalem,ירושלים / הרי יהודה,water,מעיין / נקבה,https://www.kkl.org.il/travel/water_trips_2025/
עין תנור,עין תנור,jerusalem,ירושלים / הרי יהודה,water,מעיין / נקבה,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין חוד,עין חוד,jerusalem,ירושלים / הרי יהודה,water,מעיין,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין פרת,עין פרת,deadsea,מדבר יהודה,water,מעיין / מסלול מים,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עינות צוקים,עינות צוקים,deadsea,ים המלח,nature,מעיינות / שמורת טבע,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין בוקק,עין בוקק,deadsea,ים המלח,water,מעיין / מסלול מים,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין נמר,עין נמר,deadsea,ים המלח,water,מעיין / מסלול,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין משמר,עין משמר,deadsea,ים המלח,water,מעיין / מסלול,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין עקב,עין עקב,south,נגב / שדה בוקר,water,מעיין / מסלול,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין זיק,עין זיק,south,נגב / שדה בוקר,water,מעיין / נווה מדבר,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין שביב,עין שביב,south,נגב / שדה בוקר,water,מעיין / נווה מדבר,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
גב ימין,גב ימין,south,נגב,nature,גב,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
גבי פרס,גבי פרס,south,נגב / ים המלח,nature,גבים,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
גב קינה,גב קינה,south,נגב / ערד,nature,גב,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
גב חווה,גב חווה,south,נגב,nature,גב,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין חווה,עין חווה,south,נגב,water,מעיין / מסלול,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
עין נטפים,עין נטפים,eilat,אילת,water,מעיין / מסלול,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
מצפור טופז,מצפור טופז,north,צפון / גליל מערבי,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור שביט,מצפור שביט,north,צפון / גליל מערבי,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור איתן לבב,מצפור איתן לבב,north,צפון / גליל מערבי,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור יוסף מועדי,מצפור יוסף מועדי,north,צפון / גליל תחתון,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור מאואר,מצפור מאואר,north,צפון / גליל עליון,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
קרן נפתלי,קרן נפתלי,north,צפון / גליל עליון,viewpoints,תצפית / מסלול,https://www.kkl.org.il/scenic_lookouts/
מצפור השלום,מצפור השלום,north,צפון / גולן,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפה אופיר,מצפה אופיר,north,צפון / גולן,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפה גדות,מצפה גדות,north,צפון / גולן,viewpoints,תצפית / מורשת,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
מצפור הפסגות יער שווייץ,מצפור הפסגות יער שווייץ,north,צפון / כנרת,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור תלת-מפלסי יער שווייץ,מצפור תלת-מפלסי יער שווייץ,north,צפון / כנרת,water,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור דו-מפלסי יער שווייץ,מצפור דו-מפלסי יער שווייץ,north,צפון / כנרת,water,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור אופיר ביער שווייץ,מצפור אופיר ביער שווייץ,north,צפון / כנרת,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
כתף שאול,כתף שאול,north,צפון / גלבוע,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור ויניה,מצפור ויניה,north,צפון / גלבוע,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור הר אדיר,מצפור הר אדיר,north,צפון / גליל עליון,viewpoints,תצפית / מורשת,https://www.kkl.org.il/scenic_lookouts/
מצפור מונפור,מצפור מונפור,north,צפון / גליל מערבי,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור הצוק פארק הכרמל,מצפור הצוק פארק הכרמל,north,צפון / כרמל,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור עופר,מצפור עופר,north,צפון / חוף הכרמל,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפור המוחרקה,מצפור המוחרקה,north,צפון / כרמל,viewpoints,תצפית,https://www.parks.org.il/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C%D7%99-%D7%98%D7%99%D7%95%D7%9C/
תל חדיד,תל חדיד,center,מרכז / בן שמן,viewpoints,תצפית / תל,https://www.kkl.org.il/scenic_lookouts/
מצפה מודיעין,מצפה מודיעין,center,מרכז / בן שמן,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפה משואה,מצפה משואה,center,שפלה,viewpoints,תצפית,https://www.kkl.org.il/scenic_lookouts/
מצפה הראל,מצפה הראל,center,שפלה,viewpoints,תצפית / מורשת,https://www.kkl.org.il/scenic_lookouts/
