name,search_query,region,region_raw,category,type_raw,source
יער המגינים,יער המגינים,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער חדרה,יער חדרה,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נופי נחל נטוף שביער בן שמן,נופי נחל נטוף שביער בן שמן,center,מרכז / ירושלים והשפלה,water,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק יער שהם,פארק יער שהם,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער אשתאול,יער אשתאול,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער עמינדב,יער עמינדב,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
בין אשתאול לעין כרם,בין אשתאול לעין כרם,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך הצנובר ביער מראשה,דרך הצנובר ביער מראשה,center,מרכז / ירושלים והשפלה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
דרך נוף פארק בריטניה,דרך נוף פארק בריטניה,center,מרכז / ירושלים והשפלה,nature,דרך נוף / טיול רכב,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל אמות המים בפארק איילון קנדה,שביל אמות המים בפארק איילון קנדה,center,מרכז / ירושלים והשפלה,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל האלות בפארק בריטניה,שביל האלות בפארק בריטניה,center,מרכז / ירושלים והשפלה,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל הבארות ובורות המים בפארק בריטניה,שביל הבארות ובורות המים בפארק בריטניה,center,מרכז / ירושלים והשפלה,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער אילנות,יער אילנות,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער אלעד,יער אלעד,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער חורשים,יער חורשים,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער קדימה,יער קדימה,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער קהילתי שוקדה,יער קהילתי שוקדה,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל הכפר בסטף,שביל הכפר בסטף,center,מרכז / ירושלים והשפלה,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
תל חדיד שביער בן שמן,תל חדיד שביער בן שמן,center,מרכז / ירושלים והשפלה,archaeology,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מגשר עד הלום לגבעה 69,מגשר עד הלום לגבעה 69,center,מרכז / ירושלים והשפלה,nature,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יד אנה פרנק ביער הקדושים,יד אנה פרנק ביער הקדושים,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
שביל אלכסנדרוני ביער אלעד,שביל אלכסנדרוני ביער אלעד,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער ארז ודיר סנייד,יער ארז ודיר סנייד,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער הרצל חולדה,יער הרצל חולדה,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער חרובית,יער חרובית,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער ירושלים: מצפה כרם,יער ירושלים: מצפה כרם,center,מרכז / ירושלים והשפלה,viewpoints,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער ניר משה,יער ניר משה,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
יער ראש העין,יער ראש העין,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מגבעה 314 למנזר לטרון,מגבעה 314 למנזר לטרון,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מגדל תצפית אדוריים ביער אמציה,מגדל תצפית אדוריים ביער אמציה,center,מרכז / ירושלים והשפלה,viewpoints,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
פארק בגין,פארק בגין,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
ממחלף שואבה לשמורת המסרק,ממחלף שואבה לשמורת המסרק,center,מרכז / ירושלים והשפלה,reserves,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מסלול תש״ח: מהר אדר לקריית ענבים,מסלול תש״ח: מהר אדר לקריית ענבים,center,מרכז / ירושלים והשפלה,mountains,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מרכז המבקרים באילנות,מרכז המבקרים באילנות,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
מרכז צפרות יער ראש ציפור,מרכז צפרות יער ראש ציפור,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
משלט י״ד בפארק איילון קנדה,משלט י״ד בפארק איילון קנדה,center,מרכז / ירושלים והשפלה,nature,טיול / נקודת עניין,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נווה אילן הישנה ויער המכללות,נווה אילן הישנה ויער המכללות,center,מרכז / ירושלים והשפלה,nature,יער / מסלול,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נחל אלכסנדר,נחל אלכסנדר,center,מרכז / ירושלים והשפלה,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נחל אלכסנדר תיכון,נחל אלכסנדר תיכון,center,מרכז / ירושלים והשפלה,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נחל אלכסנדר: מפארק איטליה לפארק צבי הנחל,נחל אלכסנדר: מפארק איטליה לפארק צבי הנחל,center,מרכז / ירושלים והשפלה,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
נחל עין כרם,נחל עין כרם,center,מרכז / ירושלים והשפלה,water,מסלול הליכה,https://www.kkl.org.il/travel/trips/itineraries_for_families/itineraries_for_families_center/
